measure_code,parent_description,description,abs_reference_year,value,state,measure_name,source_file
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2021,5560.0,ACT,business_entries_count,abs_ste_8_act.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2022,6591.0,ACT,business_entries_count,abs_ste_8_act.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2023,6207.0,ACT,business_entries_count,abs_ste_8_act.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2024,6501.0,ACT,business_entries_count,abs_ste_8_act.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2021,3839.0,ACT,business_exits_count,abs_ste_8_act.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2022,4438.0,ACT,business_exits_count,abs_ste_8_act.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2023,4962.0,ACT,business_exits_count,abs_ste_8_act.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2024,5138.0,ACT,business_exits_count,abs_ste_8_act.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2020,82.0,ACT,utilities_businesses_count,abs_ste_8_act.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2021,97.0,ACT,utilities_businesses_count,abs_ste_8_act.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2022,120.0,ACT,utilities_businesses_count,abs_ste_8_act.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2023,127.0,ACT,utilities_businesses_count,abs_ste_8_act.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2024,112.0,ACT,utilities_businesses_count,abs_ste_8_act.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2020,29724.0,ACT,total_businesses_count,abs_ste_8_act.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2021,31490.0,ACT,total_businesses_count,abs_ste_8_act.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2022,33813.0,ACT,total_businesses_count,abs_ste_8_act.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2023,35086.0,ACT,total_businesses_count,abs_ste_8_act.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2024,36316.0,ACT,total_businesses_count,abs_ste_8_act.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2018,66350.0,ACT,median_employee_income_aud,abs_ste_8_act.csv
