accreditation_code,power_station_name,state,installed_capacity,postcode,fuel_source_s,accreditation_start_date,suspension_status,baseline_mwh,comment,accreditation_start_year,power_station_name_key,power_station_name_canonical,power_station_name_core,fuel_family,source_file
SRPVAC40,1 National Circuit Barton - Solar w SGU - ACT,ACT,0.1656,2600,Solar,2023-09-28,Unsuspended,0,,2023,1 national circuit barton solar w sgu act,1 national circuit barton,1 national circuit barton,solar,cer_historical_accredited_power_stations.csv
SRPVAC12,2 Faulding Street Solar - ACT,ACT,0.3469,2609,Solar,2016-09-28,Unsuspended,0,,2016,2 faulding street solar act,2 faulding street solar,2 faulding street,solar,cer_historical_accredited_power_stations.csv
SRPVAC39,3-5 National Circuit Barton - Solar w SGU - ACT,ACT,0.1656,2600,Solar,2023-09-28,Unsuspended,0,,2023,3 5 national circuit barton solar w sgu act,3 5 national circuit barton,3 5 national circuit barton,solar,cer_historical_accredited_power_stations.csv
SRPVAC34,Agile Energy - CromSWG130KW - Solar w SGU - ACT,ACT,0.1303,2900,Solar,2022-10-05,Unsuspended,0,,2022,agile energy cromswg130kw solar w sgu act,agile energy cromswg130kw,agile cromswg130kw,solar,cer_historical_accredited_power_stations.csv
SRPVAC33,Agile Energy Next Gen - Solar w/ SGU - ACT,ACT,0.2466,2602,Solar,2023-04-27,Unsuspended,0,,2023,agile energy next gen solar w sgu act,agile energy next gen,agile next gen,solar,cer_historical_accredited_power_stations.csv
SRPVAC35,Agile Energy-CromNTH160KW-Solar w SGU-ACT,ACT,0.1601,2602,Solar,2022-10-05,Unsuspended,0,,2022,agile energy cromnth160kw solar w sgu act,agile energy cromnth160kw solar w sgu,agile cromnth160kw w sgu,solar,cer_historical_accredited_power_stations.csv
SRPVAC08,Amaroo Solar - ACT,ACT,0.6,2914,Solar,2015-12-23,Unsuspended,0,,2015,amaroo solar act,amaroo solar,amaroo,solar,cer_historical_accredited_power_stations.csv
SRPVAC43,BF HUME - SOLAR - ACT,ACT,0.2521,2620,Solar,2024-07-31,Unsuspended,0,,2024,bf hume solar act,bf hume,bf hume,solar,cer_historical_accredited_power_stations.csv
SRPVAC41,BIG W Canberra Airport 191 - Solar - ACT,ACT,0.1998,2609,Solar,2023-12-07,Unsuspended,0,,2023,big w canberra airport 191 solar act,big w canberra airport 191,big w canberra airport 191,solar,cer_historical_accredited_power_stations.csv
BEBGAC01,Belconnen LFG Power Plant,ACT,1.0,2616,Biomass,2001-04-01,Suspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,2001,belconnen lfg power plant,belconnen lfg power plant,belconnen lfg,bioenergy,cer_historical_accredited_power_stations.csv
SRPVAC45,Belconnen Market - Solar w SGU - ACT,ACT,0.5396,2617,Solar,2024-08-20,Unsuspended,0,,2024,belconnen market solar w sgu act,belconnen market,belconnen market,solar,cer_historical_accredited_power_stations.csv
SRPVAC25,Bunnings Belconnen - Solar - ACT,ACT,0.3299,2617,Solar,2020-08-25,Unsuspended,0,,2020,bunnings belconnen solar act,bunnings belconnen,bunnings belconnen,solar,cer_historical_accredited_power_stations.csv
SRPVAC27,Bunnings Gungahlin - Solar - ACT,ACT,0.4802,2912,Solar,2020-10-27,Unsuspended,0,,2020,bunnings gungahlin solar act,bunnings gungahlin,bunnings gungahlin,solar,cer_historical_accredited_power_stations.csv
SRPVAC20,CISAC Bruce ACT - Solar,ACT,0.2494,2617,Solar,2019-12-09,Unsuspended,0,,2019,cisac bruce act solar,cisac bruce,cisac bruce,solar,cer_historical_accredited_power_stations.csv
SRPVAC44,CSIRO - Solar - ACT,ACT,1.2689,2620,Solar,2024-08-20,Unsuspended,0,,2024,csiro solar act,csiro,csiro,solar,cer_historical_accredited_power_stations.csv
