reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,important_notes,reporting_period,reporting_year_start,reporting_year_end,abs_reference_year,source_file,facility_name_key,facility_name_canonical,facility_name_core,reporting_entity_key,primary_fuel_family,nger_row_id,candidate_power_station_name,candidate_accreditation_code,candidate_installed_capacity_mw,candidate_postcode,candidate_fuel_source,candidate_accreditation_start_date,candidate_accreditation_start_year,candidate_suspension_status,candidate_baseline_mwh,candidate_fuel_family,facility_match_method,facility_match_status,matched_power_station_name,matched_accreditation_code,matched_installed_capacity_mw,matched_postcode,matched_fuel_source,matched_accreditation_start_date,matched_accreditation_start_year,matched_suspension_status,matched_baseline_mwh,matched_fuel_family,facility_match_found,matched_is_renewable_power_station,business_entries_count,business_exits_count,employee_income_earners_count,mean_employee_income_aud,median_employee_income_aud,total_businesses_count,total_employee_income_million_aud,utilities_businesses_count
ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,F,ACT,213115.0,59199.0,0.0,15.0,15.0,0.0,On,NEM,Solar,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,royalla solar farm,royalla solar farm,royalla,acciona energy oceania pty ltd,solar,2,Royalla Solar Farm - ACT,SRPVAC06,20.0,2901.0,Solar,2014-05-01,2014.0,Unsuspended,0.0,solar,canonical_name_state,matched,Royalla Solar Farm - ACT,SRPVAC06,20.0,2901.0,Solar,2014-05-01 00:00:00,2014.0,Unsuspended,0.0,solar,True,True,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,Mugga Lane LFG Power Station,F,ACT,79427.0,22063.0,1398.0,1.0,1399.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,mugga lane lfg power station,mugga lane lfg power station,mugga lane lfg,energy developments limited,bioenergy,131,Mugga Lane - LFG - ACT,BEBGAC03,6.39,2609.0,Biomass,2020-06-11,2020.0,Unsuspended,0.0,bioenergy,core_name_state_fuel,rejected_future_accreditation,,,,,,,,,,,False,False,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,West Belconnen LFG Power Station,F,ACT,11163.0,3101.0,201.0,8.0,209.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,west belconnen lfg power station,west belconnen lfg power station,west belconnen lfg,energy developments limited,bioenergy,141,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
ROYALLA HOLDINGS ASSET PTY LTD,Royalla Solar Farm,F,ACT,49475.0,13743.0,0.0,85.0,85.0,0.0,On,NEM,Solar,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,royalla solar farm,royalla solar farm,royalla,royalla holdings asset pty ltd,solar,300,Royalla Solar Farm - ACT,SRPVAC06,20.0,2901.0,Solar,2014-05-01,2014.0,Unsuspended,0.0,solar,canonical_name_state,matched,Royalla Solar Farm - ACT,SRPVAC06,20.0,2901.0,Solar,2014-05-01 00:00:00,2014.0,Unsuspended,0.0,solar,True,True,,,,,,,,
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,567719.0,157700.0,19.0,293.0,312.0,0.0,On,NEM,Wind,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,gunning wind farm,gunning wind farm,gunning,acciona energy oceania pty ltd,wind,1,Gunning Wind Farm - NSW,WD00NS07,46.5,2581.0,Wind,2011-03-23,2011.0,Unsuspended,0.0,wind,canonical_name_state,matched,Gunning Wind Farm - NSW,WD00NS07,46.5,2581.0,Wind,2011-03-23 00:00:00,2011.0,Unsuspended,0.0,wind,True,True,,,,,,,,
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,50275548.0,13965430.0,12253123.0,8306.0,12261429.0,0.88,On,NEM,Black Coal,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,bayswater power station,bayswater power station,bayswater,agl energy limited,coal,5,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,27428.0,7619.0,1.0,97.0,98.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,burrendong hydro,burrendong hydro,burrendong,agl energy limited,hydro,7,Burrendong,HY00NS12,19.0,2820.0,Hydro,2001-08-22,2001.0,Unsuspended,40880.0,hydro,core_name_state_fuel,matched,Burrendong,HY00NS12,19.0,2820.0,Hydro,2001-08-22 00:00:00,2001.0,Unsuspended,40880.0,hydro,True,True,,,,,,,,
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,139785.0,38829.0,1.0,75.0,76.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,copeton hydro,copeton hydro,copeton,agl energy limited,hydro,10,Copeton,HY00NS11,20.0,2360.0,Hydro,2001-08-22,2001.0,Unsuspended,35471.0,hydro,core_name_state_fuel,matched,Copeton,HY00NS11,20.0,2360.0,Hydro,2001-08-22 00:00:00,2001.0,Unsuspended,35471.0,hydro,True,True,,,,,,,,
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,42254.0,11737.0,0.0,16.0,16.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,glenbawn hydro,glenbawn hydro,glenbawn,agl energy limited,hydro,13,Glenbawn,HYMINS05,5.5,2337.0,Hydro,2001-08-22,2001.0,Unsuspended,11968.0,hydro,core_name_state_fuel,matched,Glenbawn,HYMINS05,5.5,2337.0,Hydro,2001-08-22 00:00:00,2001.0,Unsuspended,11968.0,hydro,True,True,,,,,,,,
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,901.0,250.0,355.0,869.0,1224.0,1.42,On,NEM,Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,hunter valley gas turbines,hunter valley gas turbines,hunter valley gas turbines,agl energy limited,gas,20,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,14613.0,4059.0,238.0,5.0,243.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,kincumber landfill generation,kincumber landfill generation,kincumber landfill generation,agl energy limited,bioenergy,21,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,24864251.0,6906736.0,6514993.0,46355.0,6561348.0,0.94,On,NEM,Black Coal,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,liddell power station,liddell power station,liddell,agl energy limited,coal,22,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,33769.0,9380.0,9.0,59.0,68.0,0.0,On,NEM,Solar,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,nyngan solar plant,nyngan solar plant,nyngan,agl energy limited,solar,27,Nyngan Solar Plant - NSW,SRPVNS31,102.0,2825.0,Solar,2015-03-21,2015.0,Unsuspended,0.0,solar,canonical_name_state,matched,Nyngan Solar Plant - NSW,SRPVNS31,102.0,2825.0,Solar,2015-03-21 00:00:00,2015.0,Unsuspended,0.0,solar,True,True,,,,,,,,
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,19739.0,5483.0,356.0,8.0,364.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,shoalhaven landfill generation,shoalhaven landfill generation,shoalhaven landfill generation,agl energy limited,bioenergy,31,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
