state,reporting_period,reporting_year_start,reporting_year_end,abs_reference_year,facility_count,reporting_entity_count,electricity_production_mwh,electricity_production_gj,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emissions_intensity_t_co2_e_per_mwh,cumulative_renewable_power_station_count,cumulative_renewable_capacity_mw,business_entries_count,business_exits_count,employee_income_earners_count,mean_employee_income_aud,median_employee_income_aud,total_businesses_count,total_employee_income_million_aud,utilities_businesses_count,renewable_capacity_mw_per_1000_businesses,electricity_mwh_per_income_earner,emissions_t_co2_e_per_income_earner
ACT,2014-15,2014,2015,2015,3,3,98106.0,353180.0,1599.0,109.0,1708.0,0.017409740484781767,9,22.436700000000002,,,,,,,,,,,
NSW,2014-15,2014,2015,2015,65,19,61897115.0,222829619.0,48149812.0,389248.0,48539060.0,0.7841893761930584,91,9507.1991,,,,,,,,,,,
NT,2014-15,2014,2015,2015,12,4,2183353.0,7860071.0,1288313.0,14.0,1288327.0,0.5900681199970871,12,9.0337,,,,,,,,,,,
QLD,2014-15,2014,2015,2015,43,18,65537181.0,235933846.0,51283402.0,344347.0,51627749.0,0.7877627357819983,58,2854.4581,,,,,,,,,,,
SA,2014-15,2014,2015,2015,34,17,10180122.0,36648436.0,5063563.0,41067.0,5104630.0,0.5014311223382195,28,1517.4125000000001,,,,,,,,,,,
TAS,2014-15,2014,2015,2015,38,4,9412736.0,33885843.0,19068.0,22723.0,41791.0,0.004439835558970314,51,2645.1621,,,,,,,,,,,
VIC,2014-15,2014,2015,2015,62,21,54495638.0,196184296.0,60317578.0,863850.0,61181428.0,1.1226848651629695,78,2134.8936,,,,,,,,,,,
WA,2014-15,2014,2015,2015,71,27,24668577.0,88806870.0,16713692.0,26580.0,16740272.0,0.678607120305318,42,1551.0008,,,,,,,,,,,
ACT,2015-16,2015,2016,2016,3,2,63256.0,227720.0,1585.0,203.0,1788.0,0.0282660933350196,15,49.913999999999994,,,,,,,,,,,
NSW,2015-16,2015,2016,2016,68,21,67819197.0,244149105.0,51328173.0,474149.0,51802322.0,0.7638297752183648,112,9589.3399,,,,,,,,,,,
NT,2015-16,2015,2016,2016,68,5,2366816.0,8520532.0,1316021.0,15.0,1316036.0,0.556036464178035,18,17.1039,,,,,,,,,,,
QLD,2015-16,2015,2016,2016,41,18,59360251.0,213696897.0,47241482.0,315224.0,47556706.0,0.8011540584624549,69,2859.5881,,,,,,,,,,,
SA,2015-16,2015,2016,2016,36,17,11611437.0,41801167.0,5049688.0,36517.0,5086205.0,0.43803406934042705,37,1621.6522,,,,,,,,,,,
TAS,2015-16,2015,2016,2016,43,5,10136434.0,36491160.0,407769.0,10048.0,417817.0,0.041219328217398744,54,2646.1871,,,,,,,,,,,
VIC,2015-16,2015,2016,2016,62,20,52354470.0,188476084.0,58492556.0,721178.0,59213734.0,1.131015823481739,94,2400.1689,,,,,,,,,,,
WA,2015-16,2015,2016,2016,79,30,25436198.0,91570297.0,17092035.0,34436.0,17126471.0,0.6733109641621755,61,1554.5172,,,,,,,,,,,
ACT,2016-17,2016,2017,2017,3,2,63949.0,230216.0,1754.0,202.0,1956.0,0.030586873915151136,15,49.913999999999994,,,,,,,,,,,
NSW,2016-17,2016,2017,2017,67,19,68317111.0,245941591.0,50909957.0,552665.0,51462622.0,0.7532903725978694,135,10138.124,,,,,,,,,,,
NT,2016-17,2016,2017,2017,67,4,2256715.0,8124152.0,1327183.0,0.0,1327183.0,0.5881039475520834,18,17.1039,,,,,,,,,,,
QLD,2016-17,2016,2017,2017,42,18,66800499.0,240481800.0,53872268.0,304743.0,54177011.0,0.811027040381839,97,3001.056,,,,,,,,,,,
SA,2016-17,2016,2017,2017,34,18,10136902.0,36492846.0,2938183.0,30651.0,2968834.0,0.29287389776482003,59,1854.4623,,,,,,,,,,,
TAS,2016-17,2016,2017,2017,38,4,10368203.0,37325534.0,338214.0,4876.0,343090.0,0.03309059438747486,56,2650.5517,,,,,,,,,,,
VIC,2016-17,2016,2017,2017,63,20,50199777.0,180719183.0,55101932.0,649267.0,55751199.0,1.1105865868687026,122,2469.8783,,,,,,,,,,,
WA,2016-17,2016,2017,2017,89,31,25028713.0,90103361.0,16489480.0,28982.0,16518462.0,0.6599804792200062,79,1673.7842,,,,,,,,,,,
ACT,2017-18,2017,2018,2018,3,2,73003.0,262812.0,2159.0,196.0,2355.0,0.032258948262400174,18,50.7568,,,244357.0,72998.0,66350.0,,17837.5,,,0.29875550935721096,0.00963753851946128
NSW,2017-18,2017,2018,2018,73,28,68459457.0,246454043.0,51513188.0,504333.0,52017521.0,0.7598295878975494,210,10882.0247,,,4074444.0,64509.0,51411.0,,262837.0,,,16.802159263938833,12.766777749307636
NT,2017-18,2017,2018,2018,67,4,2279465.0,8206080.0,1323375.0,0.0,1323375.0,0.5805638603795189,41,25.3796,,,133698.0,66503.0,57858.0,,8891.5,,,17.04935750721776,9.898240811380873
QLD,2017-18,2017,2018,2018,46,23,68653029.0,247150899.0,56117899.0,280337.0,56398236.0,0.8214966888059666,157,4531.2816,,,2574042.0,58745.0,49282.0,,151211.4,,,26.671293242301406,21.91037908472356
SA,2017-18,2017,2018,2018,38,21,13047927.0,46972537.0,3517046.0,39575.0,3556621.0,0.27258130736016534,118,2309.9542,,,834485.0,55825.0,48923.0,,46585.0,,,15.635903581250712,4.26205503993481
TAS,2017-18,2017,2018,2018,39,5,11456561.0,41243625.0,361682.0,4758.0,366440.0,0.03198516553091281,62,2652.2959,,,258195.0,51793.0,45923.0,,13372.7,,,44.37173841476403,1.4192373980905904
VIC,2017-18,2017,2018,2018,66,19,44566981.0,160441134.0,45462583.0,506050.0,45968633.0,1.0314504588049165,228,3220.4728999999998,,,3257440.0,60456.0,49890.0,,196930.1,,,13.68159689817771,14.111889397809323
WA,2017-18,2017,2018,2018,90,35,24984582.0,89944483.0,16245933.0,29120.0,16275053.0,0.6514038537847061,91,1679.0532,,,1351385.0,66798.0,53769.0,,90269.2,,,18.488130325554895,12.043239343340352
ACT,2018-19,2018,2019,2019,5,3,93555.0,336800.0,1801.0,260.0,2061.0,0.02202982202982203,20,51.3561,,,251745.0,75131.0,68333.0,,18913.9,,,0.3716260501698147,0.008186855746886731
NSW,2018-19,2018,2019,2019,77,25,69041422.0,248549133.0,51671446.0,735672.0,52407118.0,0.7590677665937993,284,12290.612799999999,,,4164609.0,66377.0,53104.0,,276433.8,,,16.578128222841567,12.58392276441798
NT,2018-19,2018,2019,2019,67,4,2294756.0,8261117.0,1286653.0,0.0,1286653.0,0.5606927272442037,48,28.5397,,,131421.0,66271.0,59206.0,,8709.7,,,17.461105911536208,9.790315094239125
QLD,2018-19,2018,2019,2019,98,28,68290752.0,245846706.0,55343117.0,412044.0,55755161.0,0.8164379416996316,236,5787.5454,,,2636456.0,60307.0,50776.0,,158995.7,,,25.90248120962383,21.147768443698663
SA,2018-19,2018,2019,2019,39,20,12703139.0,45731303.0,3308773.0,35008.0,3343781.0,0.2632247824730565,187,2718.5475,,,850510.0,57333.0,50403.0,,48762.2,,,14.93590786704448,3.931501099340396
TAS,2018-19,2018,2019,2019,40,5,11488292.0,41357843.0,225179.0,6346.0,231525.0,0.020153126330702598,66,2803.9012,,,266706.0,53375.0,47525.0,,14235.1,,,43.074741475632344,0.8680907066207735
VIC,2018-19,2018,2019,2019,71,24,43741758.0,157470320.0,42973812.0,502961.0,43476773.0,0.9939420587531027,335,3884.0278,,,3364814.0,62207.0,51487.0,,209313.2,,,12.999755112764033,12.921003360066857
WA,2018-19,2018,2019,2019,91,35,24252047.0,87307370.0,15407271.0,28263.0,15435534.0,0.6364631406165426,120,1906.7257,,,1375066.0,68090.0,55094.0,,93628.9,,,17.63700578735857,11.225304094494373
ACT,2019-20,2019,2020,2020,5,4,87670.0,315610.0,1339.0,236.0,1575.0,0.017965096384167902,25,59.4687,,,257766.0,77876.0,70509.0,29724.0,20073.9,82.0,2.0006964069438835,0.34011467765337555,0.006110192965713089
NSW,2019-20,2019,2020,2020,75,26,66767885.0,240364369.0,49310861.0,763642.0,50074503.0,0.7499788708298908,378,13239.0684,,,4193441.0,68690.0,54989.0,786246.0,288047.0,2466.0,16.838328462084384,15.921980302095582,11.941148808341408
NT,2019-20,2019,2020,2020,67,4,2213093.0,7967136.0,1258905.0,0.0,1258905.0,0.5688441470828384,55,64.925,,,130258.0,66993.0,60000.0,14547.0,8726.4,54.0,4.463119543548498,16.990073546346483,9.66470389534616
QLD,2019-20,2019,2020,2020,108,37,67098200.0,241553521.0,52282413.0,445501.0,52727914.0,0.7858320193388199,292,6066.2989,,,2672285.0,62160.0,52137.0,443911.0,166110.1,1400.0,13.665574630950799,25.10892363651332,19.731396164705487
SA,2019-20,2019,2020,2020,45,22,12680116.0,45648415.0,3061199.0,34848.0,3096047.0,0.24416551078870258,234,2763.308,,,860617.0,59036.0,51590.0,145383.0,50807.7,581.0,19.00709161318724,14.733750320990637,3.5974736729578893
TAS,2019-20,2019,2020,2020,41,7,11379595.0,40967522.0,64921.0,6361.0,71282.0,0.006264019062189823,68,2915.6555,,,271325.0,55209.0,48915.0,39285.0,14979.7,118.0,74.21803487336133,41.940827420989585,0.2627181424490924
VIC,2019-20,2019,2020,2020,77,29,43671847.0,157218657.0,40962319.0,481492.0,41443811.0,0.9489823272187229,431,5980.5334,,,3417277.0,64331.0,53010.0,630992.0,219836.3,2129.0,9.47798609174126,12.77972110542985,12.127729475837048
WA,2019-20,2019,2020,2020,90,34,24437123.0,87973648.0,15128441.0,23635.0,15152076.0,0.620043365988705,140,2467.5122,,,1399583.0,69914.0,56664.0,222944.0,97850.9,771.0,11.06785650208124,17.460288528797506,10.826136070529579
ACT,2020-21,2020,2021,2021,5,4,90253.0,324911.0,2745.0,234.0,2979.0,0.033007213056629695,28,61.1264,5560.0,3839.0,262630.0,80960.0,73538.0,31490.0,21262.6,97.0,1.941136868847253,0.34365076343144346,0.011342953965655104
NSW,2020-21,2020,2021,2021,86,34,66062106.0,237823591.0,46914983.0,562531.0,47477514.0,0.7186799948521169,447,14164.9278,128251.0,96444.0,4195471.0,71848.0,57891.0,817603.0,301434.4,2606.0,17.32494597011019,15.746052350260555,11.316372822026418
NT,2020-21,2020,2021,2021,67,4,2154199.0,7755114.0,1290345.0,0.0,1290345.0,0.598990622500521,58,91.0591,2259.0,1800.0,130686.0,69813.0,63614.0,14943.0,9123.6,58.0,6.093762965937229,16.483777910411213,9.873628391717553
QLD,2020-21,2020,2021,2021,110,38,63914860.0,230093478.0,49347052.0,574605.0,49921657.0,0.7810649510927505,334,6761.4799,69333.0,53450.0,2715480.0,64570.0,54414.0,460813.0,175337.7,1451.0,14.672936527398317,23.537223621606493,18.38410041686921
SA,2020-21,2020,2021,2021,49,22,11926022.0,42933685.0,2518361.0,38996.0,2557357.0,0.21443503961337654,273,2861.3576,19690.0,15718.0,878203.0,61072.0,53609.0,149462.0,53633.4,599.0,19.144381849567115,13.580028763281383,2.912034005805036
TAS,2020-21,2020,2021,2021,40,6,10244593.0,36880532.0,54230.0,8543.0,62773.0,0.006127427414637165,72,2917.4861,5350.0,4102.0,279043.0,57349.0,50875.0,40723.0,16002.8,121.0,71.64221938462293,36.71331300193877,0.22495816057023468
VIC,2020-21,2020,2021,2021,84,35,44971893.0,161898817.0,40760379.0,519293.0,41279672.0,0.9178993643874408,507,6578.1047,101687.0,76482.0,3398995.0,67299.0,55526.0,655507.0,228749.9,2234.0,10.035140280729268,13.230938262633513,12.144669821520774
WA,2020-21,2020,2021,2021,94,37,24139912.0,86903699.0,13851767.0,26750.0,13878517.0,0.5749199499981608,160,2555.0062,33109.0,25615.0,1436018.0,73026.0,59700.0,230280.0,104866.0,791.0,11.095215389960048,16.810312962650887,9.66458428794068
ACT,2021-22,2021,2022,2022,5,4,84427.0,303938.0,3458.0,328.0,3786.0,0.044843474244021464,31,61.714099999999995,6591.0,4438.0,272276.0,83505.0,75675.0,33813.0,22736.4,120.0,1.8251589625292046,0.3100787436277894,0.01390500815349131
NSW,2021-22,2021,2022,2022,92,39,66059193.0,237813094.0,43658859.0,836885.0,44495744.0,0.6735738355144605,511,15297.782000000001,143465.0,105636.0,4328284.0,74232.0,58972.0,854727.0,321298.7,2739.0,17.897857444540772,15.26221315422001,10.280227452727225
NT,2021-22,2021,2022,2022,67,4,2204131.0,7934860.0,1228742.0,0.0,1228742.0,0.5574723099489096,61,112.2654,2763.0,1920.0,134490.0,72175.0,66118.0,15731.0,9706.8,63.0,7.136571101646431,16.388809576920217,9.136307532158526
QLD,2021-22,2021,2022,2022,113,38,59194490.0,213100155.0,45241802.0,675383.0,45917185.0,0.7757003227834213,385,7465.3302,79509.0,59405.0,2848631.0,67160.0,56569.0,482302.0,191314.6,1530.0,15.478538757873698,20.779978171971027,16.119035775430373
SA,2021-22,2021,2022,2022,51,23,11126572.0,40055666.0,2018721.0,41702.0,2060423.0,0.18518039518370977,297,3246.9921,23403.0,16927.0,922381.0,63219.0,55407.0,156131.0,58311.8,617.0,20.796588121513345,12.06288074017136,2.2338090225188942
TAS,2021-22,2021,2022,2022,43,6,11598991.0,41756363.0,45360.0,11582.0,56942.0,0.004909220120957073,74,2918.1189,6155.0,4612.0,291089.0,59536.0,52999.0,42413.0,17330.3,127.0,68.80246386721052,39.84688875223729,0.19561714802002136
VIC,2021-22,2021,2022,2022,90,39,46035254.0,165726926.0,39496885.0,488157.0,39985042.0,0.868574375629599,542,6865.536,142020.0,83288.0,3545413.0,70089.0,57653.0,713211.0,248496.2,2320.0,9.626234031724133,12.984454561429091,11.277964513584172
WA,2021-22,2021,2022,2022,98,37,24619482.0,88630123.0,13851051.0,26103.0,13877154.0,0.5636655555953615,176,2590.3242999999998,38295.0,28617.0,1527447.0,75363.0,61638.0,239858.0,115113.1,785.0,10.799407566143302,16.118059742825775,9.085195100059119
ACT,2022-23,2022,2023,2023,9,5,246566.0,887637.0,4129.0,1158.0,5287.0,0.0214425346560353,38,63.3304,6207.0,4962.0,,,,35086.0,,127.0,1.8050048452374166,,
NSW,2022-23,2022,2023,2023,90,39,65507505.0,235827005.0,42868995.0,898785.0,43767780.0,0.668133826803509,655,16022.4896,138094.0,128785.0,,,,870951.0,,2787.0,18.396545385446483,,
NT,2022-23,2022,2023,2023,69,5,2233127.0,8039270.0,1218606.0,5.0,1218611.0,0.5456971323171499,69,128.5168,2672.0,2259.0,,,,16105.0,,58.0,7.979931698230363,,
QLD,2022-23,2022,2023,2023,119,42,58660844.0,211179055.0,42552198.0,721177.0,43273375.0,0.7376875620814457,471,8159.1605,78605.0,69394.0,,,,497025.0,,1601.0,16.415996177254666,,
SA,2022-23,2022,2023,2023,52,24,11407909.0,41068484.0,1823653.0,29096.0,1852749.0,0.16240916718392476,336,3459.2579,22648.0,21240.0,,,,159604.0,,616.0,21.674005037467733,,
TAS,2022-23,2022,2023,2023,40,5,10290129.0,37044440.0,61823.0,10376.0,72199.0,0.007016335752447807,81,2929.8878999999997,5994.0,5352.0,,,,43423.0,,137.0,67.47318011192225,,
VIC,2022-23,2022,2023,2023,93,41,46834631.0,168604673.0,38232848.0,431761.0,38664609.0,0.8255559652001956,611,7044.0632,114589.0,120931.0,,,,719367.0,,2426.0,9.792029937431103,,
WA,2022-23,2022,2023,2023,100,35,24102373.0,86768551.0,13325326.0,22430.0,13347756.0,0.5537942674773144,210,2811.9785,37305.0,33251.0,,,,246673.0,,826.0,11.399620144888171,,
ACT,2023-24,2023,2024,2024,9,5,224556.0,808400.0,4352.0,1269.0,5621.0,0.02503161794830688,41,65.39099999999999,6501.0,5138.0,,,,36316.0,,112.0,1.800611300804053,,
NSW,2023-24,2023,2024,2024,95,42,65088611.0,234319013.0,40972999.0,667666.0,41640665.0,0.6397534739218816,819,17501.4421,149226.0,122778.0,,,,896560.0,,2835.0,19.520659074685465,,
NT,2023-24,2023,2024,2024,69,5,2300930.0,8283341.0,1264413.0,3.0,1264416.0,0.5495238881669586,70,128.7688,2743.0,2348.0,,,,16380.0,,58.0,7.8613431013431025,,
QLD,2023-24,2023,2024,2024,117,40,59601414.0,214565098.0,41951141.0,907101.0,42858242.0,0.7190809600591019,558,9172.6162,80839.0,68816.0,,,,510444.0,,1632.0,17.969877596758902,,
SA,2023-24,2023,2024,2024,52,24,10542104.0,37951556.0,1686237.0,29305.0,1715542.0,0.16273241091152202,375,3889.4564,24937.0,20081.0,,,,164454.0,,639.0,23.650725430819563,,
TAS,2023-24,2023,2024,2024,41,6,9719752.0,34991099.0,125440.0,6886.0,132326.0,0.013614133364719594,85,2933.0675,6056.0,5247.0,,,,44029.0,,136.0,66.61671852642577,,
VIC,2023-24,2023,2024,2024,111,42,46713476.0,168168531.0,39145523.0,463319.0,39608842.0,0.8479103974193657,690,8368.401,124588.0,105612.0,,,,737915.0,,2489.0,11.340602914969882,,
WA,2023-24,2023,2024,2024,129,34,25129556.0,90466380.0,14431690.0,24528.0,14456218.0,0.5752675455149308,249,3352.8347,40902.0,32653.0,,,,255396.0,,859.0,13.127984385033438,,
