reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,important_notes,reporting_period,reporting_year_start,reporting_year_end,abs_reference_year,source_file,facility_name_key,facility_name_canonical,facility_name_core,reporting_entity_key,primary_fuel_family,nger_row_id
ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,F,ACT,213115.0,59199.0,0.0,15.0,15.0,0.0,On,NEM,Solar,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,royalla solar farm,royalla solar farm,royalla,acciona energy oceania pty ltd,solar,2
ENERGY DEVELOPMENTS LIMITED,Mugga Lane LFG Power Station,F,ACT,79427.0,22063.0,1398.0,1.0,1399.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,mugga lane lfg power station,mugga lane lfg power station,mugga lane lfg,energy developments limited,bioenergy,131
ENERGY DEVELOPMENTS LIMITED,West Belconnen LFG Power Station,F,ACT,11163.0,3101.0,201.0,8.0,209.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,west belconnen lfg power station,west belconnen lfg power station,west belconnen lfg,energy developments limited,bioenergy,141
ROYALLA HOLDINGS ASSET PTY LTD,Royalla Solar Farm,F,ACT,49475.0,13743.0,0.0,85.0,85.0,0.0,On,NEM,Solar,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,royalla solar farm,royalla solar farm,royalla,royalla holdings asset pty ltd,solar,300
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,567719.0,157700.0,19.0,293.0,312.0,0.0,On,NEM,Wind,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,gunning wind farm,gunning wind farm,gunning,acciona energy oceania pty ltd,wind,1
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,50275548.0,13965430.0,12253123.0,8306.0,12261429.0,0.88,On,NEM,Black Coal,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,bayswater power station,bayswater power station,bayswater,agl energy limited,coal,5
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,27428.0,7619.0,1.0,97.0,98.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,burrendong hydro,burrendong hydro,burrendong,agl energy limited,hydro,7
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,139785.0,38829.0,1.0,75.0,76.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,copeton hydro,copeton hydro,copeton,agl energy limited,hydro,10
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,42254.0,11737.0,0.0,16.0,16.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,glenbawn hydro,glenbawn hydro,glenbawn,agl energy limited,hydro,13
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,901.0,250.0,355.0,869.0,1224.0,1.42,On,NEM,Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,hunter valley gas turbines,hunter valley gas turbines,hunter valley gas turbines,agl energy limited,gas,20
