Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,,,2659625,2712912,2749365,2791794,2883762,2965078,
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,,,1.1,1.1,1.1,1.1,1.1,1.2,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,,,1331167,1357131,1376317,1398351,1446682,1488760,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,,,1328458,1355781,1373048,1393443,1437080,1476318,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,,,36.6,37,37.5,37.7,37.4,37.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,,,37.8,38.2,38.6,38.9,38.7,38.7,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,,,37.2,37.6,38,38.3,38.1,38,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,,,1748180,1773866,1787608,1812086,1883200,1942259,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,,,65.7,65.4,65,64.9,65.3,65.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,,,89404,88876,87995,87509,87124,86536,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,,,89992,91227,92535,93559,94740,96190,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,,,87103,89977,92240,93069,94580,96291,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,,,79966,80793,81775,85145,90085,93654,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,,,87415,87577,85971,86120,91827,95769,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,,,94964,94571,93254,94501,103579,110478,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,,,103024,103122,102226,102435,107335,111408,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,,,98682,102179,104869,106771,110809,114345,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,,,87272,88915,91493,95115,100906,106540,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,,,91553,91636,90830,89422,89862,91251,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,,,84110,86300,89598,92090,93544,93659,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,,,81252,82861,83629,83759,83968,85069,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,,,70705,73607,75640,77397,79593,81091,
