Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,,,547841,557578,567239,571051,573738,575496,
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,,,8.1,8.2,8.3,8.4,8.4,8.5,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,,,271197,275981,281404,283159,284247,284921,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,,,276644,281597,285835,287892,289491,290575,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,,,40.5,40.5,40.3,40.5,40.7,41,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,,,42.8,42.8,42.8,43,43.1,43.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,,,41.7,41.7,41.6,41.8,41.9,42.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,,,344216,349551,355485,356671,357245,357128,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,,,62.8,62.7,62.7,62.5,62.3,62.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,,,15282,15226,15193,15147,14980,14636,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,,,16664,16579,16445,16326,16192,16024,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,,,17255,17572,17761,17546,17300,17039,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,,,16028,15974,15959,16436,17057,17614,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,,,17265,16659,16564,16085,15733,15541,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,,,18436,19172,20497,19947,19245,18220,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,,,17253,18485,19699,20185,20712,20926,
