Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,,,246559,247428,248151,250228,253062,255069,
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,,,0.2,0.2,0.2,0.2,0.2,0.2,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,,,126289,126013,126166,127000,128309,129254,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,,,120270,121415,121985,123228,124753,125815,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,,,32.9,33.1,33.2,33.4,33.5,33.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,,,33,33.3,33.6,33.7,33.8,34.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,,,33,33.2,33.4,33.5,33.7,33.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,,,174060,173961,173882,175269,177834,179168,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,,,70.6,70.3,70.1,70,70.3,70.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,,,9453,9246,9174,8952,8784,8607,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,,,9329,9268,9217,9145,9055,8970,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,,,8578,8771,8847,8985,8922,8992,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,,,7965,7962,7853,8024,8313,8387,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,,,9451,9151,9107,8978,9096,9452,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,,,11493,11297,11196,11212,11392,11085,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,,,11691,11718,11659,11905,12108,12236,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,,,10277,10274,10277,10545,10794,10965,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,,,8636,8502,8608,8705,9030,9263,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,,,8679,8397,8157,8011,7781,7801,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,,,7740,7756,7921,7970,8033,7969,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,,,7155,7153,7107,6997,6902,6908,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,,,5717,5878,5923,6054,6136,6112,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,,,4352,4448,4542,4586,4662,4757,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,,,2933,3138,3319,3344,3420,3538,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,,,1667,1742,1807,1982,2144,2308,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,,,714,844,935,1062,1138,1255,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,,,459,468,517,543,599,649,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,,,7.5,7.3,7.3,7,6.8,6.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,,,7.4,7.4,7.3,7.2,7.1,6.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,,,6.8,7,7,7.1,7,7,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,,,6.3,6.3,6.2,6.3,6.5,6.5,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,,,7.5,7.3,7.2,7.1,7.1,7.3,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,,,9.1,9,8.9,8.8,8.9,8.6,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,,,9.3,9.3,9.2,9.4,9.4,9.5,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,,,8.1,8.2,8.1,8.3,8.4,8.5,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,,,6.8,6.7,6.8,6.9,7,7.2,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,,,6.9,6.7,6.5,6.3,6.1,6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,,,6.1,6.2,6.3,6.3,6.3,6.2,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,,,5.7,5.7,5.6,5.5,5.4,5.3,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,,,4.5,4.7,4.7,4.8,4.8,4.7,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,,,3.4,3.5,3.6,3.6,3.6,3.7,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,,,2.3,2.5,2.6,2.6,2.7,2.7,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,,,1.3,1.4,1.4,1.6,1.7,1.8,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,,,0.6,0.7,0.7,0.8,0.9,1,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,,,0.4,0.4,0.4,0.4,0.5,0.5,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,,,8768,8601,8430,8373,8209,8090,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,,,8843,8809,8848,8742,8434,8263,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,,,8146,8250,8193,8331,8454,8466,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,,,7154,7312,7292,7463,7611,7633,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,,,8244,8161,8038,7937,8115,8234,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,,,11683,11599,11468,11695,11852,11730,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,,,11884,11819,11955,12171,12548,12813,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,,,10063,10323,10422,10640,10895,11059,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,,,8385,8576,8740,8947,9095,9320,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,,,8220,8003,7845,7730,7737,7810,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,,,7468,7641,7799,7808,7781,7678,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,,,6768,6804,6738,6660,6713,6795,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,,,5387,5635,5777,5817,5902,5918,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,,,3905,4112,4203,4338,4404,4524,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,,,2469,2734,2975,3014,3114,3275,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,,,1487,1526,1594,1780,1998,2164,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,,,771,852,990,1064,1096,1174,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,,,625,658,678,718,795,869,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,,,7.3,7.1,6.9,6.8,6.6,6.4,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,,,7.4,7.3,7.3,7.1,6.8,6.6,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,,,6.8,6.8,6.7,6.8,6.8,6.7,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,,,5.9,6,6,6.1,6.1,6.1,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,,,6.9,6.7,6.6,6.4,6.5,6.5,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,,,9.7,9.6,9.4,9.5,9.5,9.3,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,,,9.9,9.7,9.8,9.9,10.1,10.2,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,,,8.4,8.5,8.5,8.6,8.7,8.8,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,,,7,7.1,7.2,7.3,7.3,7.4,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,,,6.8,6.6,6.4,6.3,6.2,6.2,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,,,6.2,6.3,6.4,6.3,6.2,6.1,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,,,5.6,5.6,5.5,5.4,5.4,5.4,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,,,4.5,4.6,4.7,4.7,4.7,4.7,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,,,3.2,3.4,3.4,3.5,3.5,3.6,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,,,2.1,2.3,2.4,2.4,2.5,2.6,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,,,1.2,1.3,1.3,1.4,1.6,1.7,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,,,,0.6,0.7,0.8,0.9,0.9,0.9,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,,,,0.5,0.5,0.6,0.6,0.6,0.7,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,,,18221,17847,17604,17325,16993,16697,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,,,,18172,18077,18065,17887,17489,17233,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,,,,16724,17021,17040,17316,17376,17458,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,,,,15119,15274,15145,15487,15924,16020,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,,,17695,17312,17145,16915,17211,17686,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,,,23176,22896,22664,22907,23244,22815,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,,,23575,23537,23614,24076,24656,25049,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,,,,20340,20597,20699,21185,21689,22024,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,,,17021,17078,17348,17652,18125,18583,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,,,16899,16400,16002,15741,15518,15611,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,,,15208,15397,15720,15778,15814,15647,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,,,13923,13957,13845,13657,13615,13703,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,,,11104,11513,11700,11871,12038,12030,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,,,,8257,8560,8745,8924,9066,9281,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,,,,5402,5872,6294,6358,6534,6813,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,,,,3154,3268,3401,3762,4142,4472,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,,,,1485,1696,1925,2126,2234,2429,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,,,,1084,1126,1195,1261,1394,1518,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,,,,7.4,7.2,7.1,6.9,6.7,6.5,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,,,,7.4,7.3,7.3,7.1,6.9,6.8,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,,,,6.8,6.9,6.9,6.9,6.9,6.8,
ERP_P_24,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (%),,,,,,6.1,6.2,6.1,6.2,6.3,6.3,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,,,,7.2,7,6.9,6.8,6.8,6.9,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,,,,9.4,9.3,9.1,9.2,9.2,8.9,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,,,,9.6,9.5,9.5,9.6,9.7,9.8,
ERP_P_28,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (%),,,,,,8.2,8.3,8.3,8.5,8.6,8.6,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,,,,6.9,6.9,7,7.1,7.2,7.3,
ERP_P_30,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (%),,,,,,6.9,6.6,6.4,6.3,6.1,6.1,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,,,,6.2,6.2,6.3,6.3,6.2,6.1,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,,,,5.6,5.6,5.6,5.5,5.4,5.4,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,,,,4.5,4.7,4.7,4.7,4.8,4.7,
ERP_P_34,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (%),,,,,,3.3,3.5,3.5,3.6,3.6,3.6,
ERP_P_35,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (%),,,,,,2.2,2.4,2.5,2.5,2.6,2.7,
ERP_P_36,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (%),,,,,,1.3,1.3,1.4,1.5,1.6,1.8,
ERP_P_37,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (%),,,,,,0.6,0.7,0.8,0.8,0.9,1,
ERP_P_38,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (%),,,,,,0.4,0.5,0.5,0.5,0.6,0.6,
BD_2,Births and deaths - year ended 31 December,Births (no.),,,,,4050,3658,3752,3784,3614,3316,,
BD_3,Births and deaths - year ended 31 December,Total fertility rate (births per female) (rate),,,,,1.94,1.89,1.87,1.81,1.79,1.71,,
BD_4,Births and deaths - year ended 31 December,Deaths (no.),,,,,1110,1142,1141,1211,1338,1253,,
BD_5,Births and deaths - year ended 31 December,"Standardised death rate (per 1,000 people) (rate)",,,,,7.2,7.3,7.2,7.2,7.3,7.2,,
MIGRATION_2,Internal and overseas migration - year ended 30 June,Internal arrivals (no.),,,,,,,,13504,18466,14118,13428,
MIGRATION_3,Internal and overseas migration - year ended 30 June,Internal departures (no.),,,,,,,,16008,21026,17385,17203,
MIGRATION_4,Internal and overseas migration - year ended 30 June,Net internal migration (no.),,,,,,,,-2504,-2560,-3267,-3775,
MIGRATION_5,Internal and overseas migration - year ended 30 June,Overseas arrivals (no.),,,,,,,,1419,5174,6589,5490,
MIGRATION_6,Internal and overseas migration - year ended 30 June,Overseas departures (no.),,,,,,,,1886,2839,2697,1878,
MIGRATION_7,Internal and overseas migration - year ended 30 June,Net overseas migration (no.),,,,,,,,-467,2335,3892,3612,
CENSUS_34,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (no.),56781,,58247,,,,,61115,,,,
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (%),26.8,,25.5,,,,,26.3,,,,
CENSUS_4,Overseas born population - Census,Born in Oceania and Antarctica (excluding Australia) (%),,,2.6,,,,,2.4,,,,
CENSUS_5,Overseas born population - Census,Born in North-West Europe (%),,,4.4,,,,,3.8,,,,
